"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","COFOG","SECTOR","TRANSFORMATION","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:GENENVPROEXP(1.0.2)","GEO.GF0520_S13.XDC.A","OBS_VALUE","Georgia","Waste water management","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","0","0","0","0","0","0","0","0","0","0","11600000","15500000","20200000","24800000","20100000","14300000","15700000","20200000","29800000","19600000","22000000","17600000","28000000","25100000","20200000","27700000"
"IMF.STA:GENENVPROEXP(1.0.2)","SLV.GF0530_S13.XDC.A","OBS_VALUE","El Salvador","Pollution abatement","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","0","2300000","0","0","0","0","0","100000",""
"IMF.STA:GENENVPROEXP(1.0.2)","EGY.GF0530_S13.POGDP_PT.A","OBS_VALUE","Egypt, Arab Republic of","Pollution abatement","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GENENVPROEXP(1.0.2)","HRV.GF0540_S13.POGDP_PT.A","OBS_VALUE","Croatia, Republic of","Protection of biodiversity and landscape","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0.097","0.0894","0.0841","0.0883","0.0911","0.0824","0.0746","0.0782","0.0806","0.068727154","0.0748","0.083195599","0.0784","0.0558","0.0655","0.0591","0.0653","0.0719","0.113427593","0.121394118","0.137872824","0.136092624","0.125043419","0.176045598","0.222960245","0.174645376","0.156139688",""
"IMF.STA:GENENVPROEXP(1.0.2)","EST.GF05_S13.XDC.A","OBS_VALUE","Estonia, Republic of","Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","16600000","21700000","30000000","32100000","33700000","32800000","50700000","48300000","62500000","68200000","105100000","107500000","140200000","178700000","108900000","-38100000","-28700000","158300000","126000000","137000000","149500000","128800000","175300000","193400000","187300000","184200000","174400000",""
"IMF.STA:GENENVPROEXP(1.0.2)","CZE.GF0530_S13.XDC.A","OBS_VALUE","Czech Republic","Pollution abatement","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","525000000","604000000","614000000","640000000","635000000","652000000","710000000","733000000","896000000","968000000","950000000","1062000000","695000000","488000000","563000000","2430000000","8766000000","9136000000","1089000000","1172000000","1058000000","473000000","393000000","344000000","1627000000","2387000000","2934000000",""
"IMF.STA:GENENVPROEXP(1.0.2)","EGY.GF0560_S13.POGDP_PT.A","OBS_VALUE","Egypt, Arab Republic of","Environmental protection n.e.c.","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GENENVPROEXP(1.0.2)","FIN.GF0550_S13.XDC.A","OBS_VALUE","Finland","R&D Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","53000000","57000000","57000000","59000000","65000000","62000000","64000000","64000000","64000000","70000000","68000000","71000000","84000000","73000000","78000000","70000000","69000000","73000000","71000000","73000000","83000000",""
"IMF.STA:GENENVPROEXP(1.0.2)","FIN.GF0520_S13.XDC.A","OBS_VALUE","Finland","Waste water management","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"IMF.STA:GENENVPROEXP(1.0.2)","HRV.GF0510_S13.XDC.A","OBS_VALUE","Croatia, Republic of","Waste management","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","13136000","14076000","14756000","18517000","19374000","19014000","21892000","23890000","29207000","29261000","27227000","25606000","17546000","31559000","28439000","28444000","24124000","28507000","25034000","34055000","27229000","29344000","31856000","161913000","159060000","175473000","199132000",""
"IMF.STA:GENENVPROEXP(1.0.2)","EST.GF0560_S13.POGDP_PT.A","OBS_VALUE","Estonia, Republic of","Environmental protection n.e.c.","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0.10483499","0.127718432","0.146511816","0.137243061","0.146109601","0.158790599","0.186057961","0.175134035","0.190978933","0.123753895","0.14634228","-0.0435","0.12559957","0.132386011","0.00142","0.0902","0.132515852","0.113860317","0.0212","0.0209","0.095","0.0704","0.0655","0.087150439","0.0519","0.078016798","0.0385",""
"IMF.STA:GENENVPROEXP(1.0.2)","SVK.GF05_S13.XDC.A","OBS_VALUE","Slovak Republic","Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","318929000","391979000","320236000","293296000","355079000","448159000","312658000","367804000","453915000","477187000","543775000","577181000","465937000","536900000","574218000","599621000","558573000","639236000","654318000","611443000","740367000","597207000","660528000","717363000","764275000","863439000","929351000",""
"IMF.STA:GENENVPROEXP(1.0.2)","GRC.GF0540_S13.XDC.A","OBS_VALUE","Greece","Protection of biodiversity and landscape","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1000000","8000000","9000000","11000000","4000000","4000000","4000000","4000000","4000000","3000000","4000000",""
"IMF.STA:GENENVPROEXP(1.0.2)","SGP.GF0510_S13.POGDP_PT.A","OBS_VALUE","Singapore","Waste management","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0"
