"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","GFS_STO","SECTOR","TRANSFORMATION","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:ENVTX(1.0.2)","SLV.ECGTEP_S13.XDC.A","OBS_VALUE","El Salvador","Environmental taxes, Taxes on pollution","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","",""
"IMF.STA:ENVTX(1.0.2)","CIV.ECGTEP_S13.XDC.A","OBS_VALUE","Côte d'Ivoire","Environmental taxes, Taxes on pollution","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3781000","179249000","172161000","112993000","37178000","70767000","5666194200","11428986000","5068077000","7427730000",""
"IMF.STA:ENVTX(1.0.2)","GHA.ECGTET_S13.POGDP_PT.A","OBS_VALUE","Ghana","Environmental taxes, Taxes on transport (excluding fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","0.0372","0.0601","0.0798","0.082","0.0913","0.069","0.0347","0.127795222","0.578704138","0.534737771","0.592323265","0.59543684","0.501406439","0.54712762",""
"IMF.STA:ENVTX(1.0.2)","SGP.ECGTEN_S13.POGDP_PT.A","OBS_VALUE","Singapore","Environmental taxes, Taxes on energy (including fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0.138388987","0.135530098","0.174636782","0.154238449","","","",""
"IMF.STA:ENVTX(1.0.2)","SVN.ECGTET_S13.XDC.A","OBS_VALUE","Slovenia, Republic of","Environmental taxes, Taxes on transport (excluding fuel for transport)","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","18077100","20835400","22946900","38274100","54006100","68844000","78183500","82569000","104575600","130553300","127225800","135277500","156480800","152240200","124736600","126468700","126018500","123900400","139383900","144979300","147357700","149840400","158373000","167647800","190758000","179647700","197053628.4","205205114.4"
"IMF.STA:ENVTX(1.0.2)","SVN.ECGTEN_S13.POGDP_PT.A","OBS_VALUE","Slovenia, Republic of","Environmental taxes, Taxes on energy (including fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","3.820038425","4.016424246","4.145138691","4.592641707","3.656552358","2.400823057","2.676596256","2.638577683","2.52503125","2.52250808","2.402346631","2.284445218","2.273576918","2.294551309","3.023933547","3.1077473","3.094911193","3.42519318","3.648299915","3.607876561","3.734867856","3.78897381","3.609117121","3.319331638","3.196711305","2.751113925","2.628155231","2.449022134"
"IMF.STA:ENVTX(1.0.2)","SLV.ECGTE_S13.XDC.A","OBS_VALUE","El Salvador","Environmental taxes","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","126623000","137531000","141611000","146733000","152300000","","",""
"IMF.STA:ENVTX(1.0.2)","SGP.ECGTET_S13.POGDP_PT.A","OBS_VALUE","Singapore","Environmental taxes, Taxes on transport (excluding fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0.094227314","0.113932399","0.0977","0.0957","","","",""
"IMF.STA:ENVTX(1.0.2)","FRA.ECGTET_S13.POGDP_PT.A","OBS_VALUE","France","Environmental taxes, Taxes on transport (excluding fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0.317088206","0.333315765","0.310649091","0.311488458","0.273162222","0.287504607","0.29541022","0.292033966","0.27773928","0.330747486","0.342883677","0.351161783","0.352896938","0.368504","0.356843705","0.360599392","0.36514347","0.367100025","0.361517087","0.361527888","0.345746423","0.338655467","0.330439719","0.339905201","0.326874204","0.306234447","0.301224802","0.288470428"
"IMF.STA:ENVTX(1.0.2)","EST.ECGTE_S13.POGDP_PT.A","OBS_VALUE","Estonia, Republic of","Environmental taxes","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0.847416759","1.395663552","1.497921934","1.874743527","1.656589405","1.655798414","2.05436643","1.944499129","1.83797084","2.045725786","2.215146073","2.131470941","2.132191199","2.254400994","2.905052245","2.870801459","2.66091616","2.665508603","2.596687689","2.544661558","2.738539511","2.926923553","2.876647243","3.077625264","3.170714999","2.374904888","2.594165514","2.51922304"
"IMF.STA:ENVTX(1.0.2)","FJI.ECGTEP_S13.XDC.A","OBS_VALUE","Fiji, Republic of","Environmental taxes, Taxes on pollution","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
